id,ha_text,ig_text,ha_ig_text
144,da so samu ne kidai na film     kije kiyi aure,welcome as he leads the  praisegang in the rendition of imela by imela  imela okaka  oyenkeruwa imela  imela eze mo imela  imela okaka  oyenkeruwa imela  imela eze mo oyendikagi ekene,anayi munajin dadin
145,madallah da wannan nasara,nne biko jukwa ya nke oma,to ai shikenan nidai nayi mubaya a
146,allah ytaimakimai taimako king  of kannywood,chi   uche g  d  ya,kina matukar birgu  ni fati
147,subhanallah allah mun tuba ya allah karka kamamu da laifin da wasu wawayen cikinmu suka akata,angel gabriel wetelum utaba  chineke di aware na olu pieces there    nwa bu sam,allah ya shiga tsakaninmu dashi    ai sabro kwazaba ne
148,masha allah alhamdulillah  allah ubangiji ya kaara mata daukaka da kariya,nwanyi oma     udo,oga yakasai barka da yamma ina maka fatan alheri allah ya taimaka
149,allah y basu ikon tattauna abin da zai amfane mu,onye eze na chinco,wai wannan wace irin kasane                 kai  allah kyauta
150,wasikar masoya dauke take da sunki sunki na na kalaman soyayya masu matukar tasiri a zukatan masoya munyi tanadin su ne saboda ku a nan,okpa di oku  na our own kind of moi moi  o bad gan,a nigeria komai zai iya faru ae  sabo da talakawa suna shan wahala kuma gashi likitoci suna son zuwa yajin aiki  ya allah ka gyara mana shuwaga ban nin mu
151,ameen malan  kaga muma anan zanfara wlh matsalar tanadamunmu sosai kullun cikin daukar mutane akeyi domin yin garkuwa dasu  wasu kuma akashe  uhm allah dai yakawomana agaji amma wlh akwai mats,aku na etigbu ilo nke mbu na abagana,allah yataimaka allah yasa albarka acikin nemanku
152,an fada mana wannan tun baya  saban jawabi muke so kayi mana yau idan kana hudu ba a masalaci,emerukwana onwe gi aru nne  merry christmas,allah yana ji kuma yana gani
153,allah ina ro onka alfarman tsarkakan sunayenka kacigaba da kunyata shugabannin  asar faransa  da duk wani mai goyon bayan muzanci ga janabin habibinka,ezigbo umu afo igbo,aunty rahama ansha keyau
154,the queen rahama,aka aka ya aka jehovah ne eme mma olu ebube ya       isi iyi nke ndu   worship  wacicommunionservice1  godwinabba,rahama and di ja beautiful combo
155,allah ya tsawaita rayuwa musha kallo,ezigbo beer di sharp,wayyo allahumma ameen oga sir
156,yy kyau    haka yakamata dama,np onye oma bunitem na oge  obinwanne w,mai atamfa  sannu kyakyawa
157,toh allah ya tsayar nan,dalu so nwoke oma    igbooma,allah ya maimai ta mana tare da lafiya   da zaman lafiya
158,ameeen  ya rabbb,anuri ncheta ubochi omumu gi odogwu nwafo igbo  i ga adi ka echi maka na echi anaghi agwu agwu  chukwu goziwerem gi nwoke oma  jisike,alhamdulillah  bichi emirate muna tare da sarki aminu ado bayero  allah yai mana jagora
159,yayi dai dai kinyi maganin yan kaudi,onye nkem sinsi uwa  ada oma  iphie beke,no sbd ni allah yadubeni da idanun rahma yaturomin ke
160,dakyau amma ashuka alheri a gonar don allah domin a girbi alheri allah sa mudace,nne  e jere akwukwo  amuta gom     obfuscate     ta  dalu rinne,zakarar da allah ya nufa da chara koh ana haaa maza haaa mata sai yayi
161,muna goyan bayan ka,np chukwu agozi go gi   ft       dreamlounge with    partyanimals,ba a canzawa tuwo suna  har gobe kwankwaso mae gidanka ne eheeee
162,masha allah wannan haka yake kaga yadda ake aiki da abinda allah yace,odogwu na eso okwu    chai,nakan qosa ya gama rahoto dan inji ya kira sunansa wallahi    one of my best from childhood
163,kepa aunty rahama kainuwa dashen allah maqiya sai su mutu allah ya qara daukaka,kachi fo      onye nweanyi gbaagi ume,na so jin kirarin da fadawa zasu masa
164,ameen summah ameen   allah ya gafarta mishi yayi mishi rahma allah yasa yahuta,as s  igbo na obi  t,maa sha allah  allah ya idar miki da nufinki na alkhairi
165,allah ya bi muna hakkin mu,ututu oma ndi nwem na ndi nwe    ka ubochi taa mara anyi nine nma,zulum allah yasaka maka da alkhairi   naji dadi da fadar gaskiya da kayi  hakika sai de suki gaskiya tunda wasu daga cikinsu dasu ake cutar da al umma kasarmu
166,uhmm nan gaba ma zaiyi abinda yafi haka tunda abokin donaltrump ne fa aminansa ne na kut da kut allah dai yajikan kashoggi ya bimasa hakkkinsa tun daga duniya,ututu oma nnaa  kekwanu,allahu akbar  allahu akbar   allahu akbar    ina mai mika sakon ta aziyya ga ma mallakin wannan dattijon kunkuru  a hannu daya kuma ina mai mika sakon yabo da jin jina ga likitan da yayi masa aik
167,lallai karshe wannan gardama yazo baba ganduje ayi saukale kawai muna goyan baya,ogamadamofficeshow wit  np kanyi biliie gi elu,washa kintashi lfy
168,aifa allah yaimana bama nema agunsa,ma mu enweghi ihe enwerem jesus odighi ihe korom ma olii oo,masha allah    allah ya bashi abunda yafi sarautar kano argue with ur keyboard
169,nasan zatayi dadi koh,chukwu mere ndi mmadu ebere  amen,ba wanda yasan wannan hanyan sai allah   so just keep praying
170,allah yataimaka babban director,onye e onye e onye e o dighi onye di ka gi     holyhillworship,da so samu ne kidai na film     kije kiyi aure
171,oga director   ba sai ka biya ni ba  a kaini umrah in sauka a 5star hotel sannan in huta a dubai  abu dhabi kafin in dawo kano  godiya nake  zan turo resume,ap  na anw  nwany   ma ugom  akwa nwa,madallah da wannan nasara
172,allah mun godema   allah ka karama mana kishin yankinmu,happy birthday chima chukwu g zie ma nyekwa g  ogologo nd,allah ytaimakimai taimako king  of kannywood
173,allah ya dawo mna da sarki gda lapia,okwa ehn  ezigbote ike o  daluso,subhanallah allah mun tuba ya allah karka kamamu da laifin da wasu wawayen cikinmu suka akata
174,allah ya jikan wadanda suka rasa rayukansu acikin wannan mummunan al amari   ya kamata hukumomin da aka dourawa nauyin lura da gine gine su dinga shiga unguwan ni don duban lafiyan gidaje  ba sai,ututuoma     ndi nkem nwotara ihe igbo bu  ndi ewoooo nu,masha allah alhamdulillah  allah ubangiji ya kaara mata daukaka da kariya
175,allah swt ya bata lpy,di nwaanyi isi nkpe,allah y basu ikon tattauna abin da zai amfane mu
176,you are talented  allah yakara basira     labarinahausaseries,hi n aha chineke onye nwe anyi,wasikar masoya dauke take da sunki sunki na na kalaman soyayya masu matukar tasiri a zukatan masoya munyi tanadin su ne saboda ku a nan
177,fatan alkairi zouwa ga zango ina jine dadi kalon fim kinka,nri a na esi  s   t   e si nyekwara af  m n ime ya  s  gbaa mb  sinye af  onye  b la n  n ulo a  daal,ameen malan  kaga muma anan zanfara wlh matsalar tanadamunmu sosai kullun cikin daukar mutane akeyi domin yin garkuwa dasu  wasu kuma akashe  uhm allah dai yakawomana agaji amma wlh akwai mats
178,muma muna alfahari daku  allah yasa kufi haka,nwoke  ma  dal,an fada mana wannan tun baya  saban jawabi muke so kayi mana yau idan kana hudu ba a masalaci
179,ok hope xamu gnki,dot nation na akpa ike  na aga niru nwa chi goziri agozi k ibu,allah ina ro onka alfarman tsarkakan sunayenka kacigaba da kunyata shugabannin  asar faransa  da duk wani mai goyon bayan muzanci ga janabin habibinka
180,gaskiya ne kowa a rayuwan sa  yana son ya taimaki kansa  kuma ya taimaki wansu  allah ya taimake mu gaba daya,uche gi di ya nne  keep voting bikonu  bbnaija,the queen rahama
181,mai gaskiya sai allah bless you baban su buhari,aproko chukwu g zie g  ofuma,allah ya tsawaita rayuwa musha kallo
182,same to you dear     shine har wata coco cola bottle takeson ta hada kanta dake      gaskiya ki haukata ta da hotuna,happy birthday nwanyi oma chukwu gozie gi,yy kyau    haka yakamata dama
183,rahma fa kyakyawa ce   rashin wanka ne dama,ezege bu chairman  nwanne hapu okwu,toh allah ya tsayar nan
184,allah yakiyaye asarar rai da dukiya,iwori woh jehovah emekwa la ya ozo zam ekpere  papa meperem uzo iwori woh i am better than the best he shall never rest,ameeen  ya rabbb
185,sarki allah ya kara kiyayi mana kai kuma allah ya kara baku hakurin rashin mahaifin ku,ehh nwayi oma  onye nkuzi,
186,hahahahahahah allah ya kyauta,ndewo pastor  ya diri gi mma,
187,hmmm duk wanda yayi me kyau dae wa kansa yayi   allah yasa mu gyara gabaki daya allah kuma ya shiryemu,lux fiat ezigbo mmadu,
188,allah yajikansa yasa can tafiye masa nan,igbo greetings in a gathering cha cha cha igbo kwen   igbo d ka echi  na echi ad gh  agw  agw,
189,hahaha   mutanenmu kenan mahmud kayi wllh nimafa wllh zan iya hakan  yawwah,rephrase  nkea n akwado udo n ihunanya maka ndi kwere ma nabata ya na ndu ha   makandikwerenu,
190,allah ya baki shekaru masu albarka wannan shine take nuna cewa kai mumina ceh,chai iburo ezigbo nwa afo,
191,masha allah allah kara daidaitawa,i want u inside me dim oma   nnem buru riweoooo okwa nri oma,
192,a ci gaba d shiri yanda yk mal aminu  shiri yana kyau wlh haka ake so,kita ka  b a   ezigbo mmad,
193,shi adalcin yakeyi ai,odogwu m gara school  uche ya di ya,
194,allah sarki baba  allah ya jiqan shi,o bu ezi okwu nne oma,
195,allah yakawo karshen wannan zanga zanga dan darajar annabi,omo iya mi  happy birthday love  god bless and keep you  m na apata  kw  g  na ewetara g  ego,
196,hajiya you dry chill who  like say ba azumi akeyiba    allah bada lada,n aha jesus onye nwe anyi,
197,allah yaba kasar mu nigeria nasar yasa kuma ahmad musa ne zai fara saka kwallon a raga ameem,nwa ada mara mma kedu,
198,kai allah ya banmu a kasarnan   duk xapin kebir kaga wani abun ka dara,twhcommunionservice  i b  chukwu   b gh  mmad   you are god you re not man,
199,wai dama kinada masu sonki haka,t t   ma  m  ibe  mgbe  nye ji teta   la   bulu  t t  y   k  chukwu okike wep  ru any   me be lu ma chi ekweghi n   b ch  taata niile   ndewo n   nke  nye chi lu nya  zelu,
200,mu gyara zukatan mu  muso junan mu mu dena raina namu mu dena fifita nasu  muji sune bayin mu da zamu yi musu mu amala me kyau kaga babu jin tsoro kai magan agaban uban kowa da yaren ka shine cin,mad over you  egwu nd   ma,
201,muna goyan bayanka honourable,aka aka ya olu ebube ya isi iyi nke ndu aka jehovah ne eme mma   worship  wacifamilysunday3,
202,wow nice picture hajiya rahama,ekene ezenwanyi di aso,
203,kash laifin dadi karewa   allah ya karo basira,our ezege is legit the ezege nna chukwu gozie gi at all times  nna lekwa oga,
204,gwamnan da babu kamar sa  we love him,udo d  kwara g  nze emeka amakeze,
205,tabbas wan nan magana an gaskata ta,you wey be ezigbo nna ochie,
206,allah ya tsare kasata nigeria  ya kuma shiga tsakaninmu da yen ta adda,np baby oku w  x  adaigbo on  ubochim,
207,shawara me kyau anan  indae kana da ya ko kanwa shawara me kyau ka nemi fans din  arsenal ka hadasu  sunfi kowa hakuri,gharvest   onyedikagi  ekele dirigi onye ne mema  onyedikagi  ekele dirigi onye nagworia,
208,kisha kuruminki munatare dake babbar yarinya,onye ma ihe,
209,shawara  kada abaiwa ko wace jaha komi harsai in ta cancanta kuma fannin wannan cutar ta  covid19   itakuma  fg  sutaimakawa yan kasa wajen rage radadin zaman gida ko ba a ba kowa komiba asan yad,happy new month umu naija  chizzylord  noble  nobilityconcept,
210,allahu akbar allah jiqan musulmi ya musu rahama gaba dayan su muma in tamu tazo mu cika da imani,njakiri bu ndu,
211,hbd rahma allah ya albarkashi rayuwarki allah yakaro shekaru masu albarka yadda kike taimakawa allah ya taima keki,jesu onye eze,
212,to allah ya dawo mana da ita a nigeria,just negodu ka chineke siri picha siagi ofuma e digodu uto,
213,allah yataemaki shugaba mae adalci,jehova za gi n ub chi nkp   aha chineke nke jekob me ka i n  n elu  amen  selah,
214,allah yajikan musulmi da rahama,eze nwanyi    ekene kwaa m gi,
215,ga wacce tafiki kudi da kyau fa   yanxu yazakiyi kenan,abassi ayaya oh  ayaya oh iyiehhh   provider  ima mi igwe  chukwuoma provider  my love  ima mi igwe  chukwuoma,
216,eh toh a iya cewa ta biya mana tinda duka ya aurar d yayansa mana toh meyarage mai,i love u 4 this    echere m na   b  onye ofe mman,
217,alhamdulillah masha allah bbchausa     muna godiya,as s  igbo amaka   eziokwu b  ndu  ndi  cha ji anyi egwuri egwu,
218,amin yah allah   las las mahmud dai jamila zai aura      lolz allah yasanya alkairi amin,n  ayo chukwu okike k  ife d  mma,
219,ameeeeen ya rabbi      we really miss u,thanks odogwu  akam di n elu,
220,ameen ya rabb     all the best hajjaju,onye di ka gi odiro ye di ka gi  who is like you   there is no one like you     pastorbiodun  avalanche  12dg2016,
221,wanna maganan gaskiyane    hakayake,nwata chineke nyere ishi ukwu  o ga enyekwa ya olu shiri ike o ga eji ebu ya,
222,ameen summah ameen masha allah,oga m na ezigbo nkwuuu,
223,allah dai yakawo mana karshen wannan lockdown,daalu ezigbo nwanne mmadu,
224,masha allah allah ya kara basira da fahimta,daal  nwany   ma,
225,madallah   abu yayi daidai,iwujuru ara nne gi af   unadulterated igbo boy,
226,best actress aunty na rahama,maxy onye nna,
227,ya allah ka nuna min ranar da zan bar nigeria har abada amman ba ta hanyar mutuwa ba,onye dika nne m  chukwu biko dowe nne m ndu  ka o ritezuo elele no na ibu nne nyere umu ya nile,
228,allah ya cika nufi alfarmar manzon allah,bruh deontay  chukwu gbaa gi ume,
229,allah yaji kansa da rahama  nigeria    kasata kullum dai abun kara lalace yake allah kayi mana katangar karfe da mutanen nan,ndewo nwanne m  ya makwara g  mma,
230,an gaida ku,nne chukwu gozie gi but still mechie dat cula  nkwobi ahu bufor ndi isi oche,
231,innalillahi wa inna illaihir raji un ubangiji allah muntuba allah ka gafarta mana ka kawo mana dauki daga wannan annobar cutur ya rabbil alamin,jeovah idi egwu jeovah  dcservice  praise  believersauthority,
232,ina ma aba baba ganduje,m  jesus here,
233,hahaha ai ranarda naga dubarudu na sha dariya yadda kasan real story wlhy sis rahama har da irin yar tsallen nan eh,nani jehova bu onye nwere,
234,domin yasan daraja da albarkar da jihar take samu saboda zaman su,ndi nnanna anyi siri      nwanne di na mba     today  had the opportunity to meet ezigbo nwa onye igbo in uyo  bulu kwazie nwanne mu from anambra state ezigbo mmadu ka e bu     onyenwe anyi,
235,mudai allah yakara rufamana asire duniya da lahira ameeen allah ya kawo muna karshen duk wannan matselulin,ezigbo mmad   ndewo,
236,gaskiya munajindadin kasancewa tare dashii allah dai yabashii nidan kwana mai albarka da lfy,np nwa ada di nma na  obinwanne w,
237,allah ya sa aljannah ce makomarsa ameen,udo dikwaara gi okoro oma,
238,allah ya jikansa da rahma    ina jajanta wa daukacin al ummar nijar,ibu chukwu onye di nma      iytc2017,
239,one man army                    soja kai ka ai gayyane,nwa bu ezigbo ofeakwu chala acha,
240,noma tushen arziki hausa proverb,tunestuesday on the  morningrushib w     np chukwu agozigo gi,
241,idan akwai wanda basu cancan taba toh ya kamata ai musu uzuri dan an shiga nex level amm mude mal nasir tabbas ya cancanta dan shine dai dai da mutanan kaduna,palliative  m  asa,
242,innalillahi wa inna ilaihi raji un  allah yakaremu da kariyarsa,happy birthday  zigbo nwann m nwok   o g  d iri g  nm    n aha jesus,
243,ameen thumma ameen wai kuma gsky take fada ne,nt  nt  az  d  sharp,
244,ya allah ka tausaya manah,chukwu oma onye oma a chukwu oma onye oma a chukwu oma onye oma a a onye oma  hodservice  sundaypraisejam,
245,oh oh allah sannunku da aiki bbc,ada maje oru o   ezechitaoke gbaa gi ume,
246,gsky ne my super star,thank you sir  ubochi taa maara anyi mma ooo   iseeee,
247,yau bazzen manjo talakawa suna murna da samunka a duniya   alherin allah shi kaima ka baba sarkin tausayin talaka,chaii ezigbo nwa oma  nne afam bu nonso,
248,wannan matsalan rashin tsaro da muke fama da ita allah ya kawo mana karshan ta,thank u onye nkem,
249,toh   yaya dan kwambo ne ya zama alhaji what is the reason behind   allah kara maka lfy  basira da nisan kwana,chief osita osadebe   yoba chukwu   kpe be ekpele    k anyi di ndu    ka nka   cha isi aw,
250,allah ya kaimu lahadi lafiya muna yiwa allah biyayya muna yiwa shugaba da a salla till sunday,da aalu onye nkem,
251,barka da juma a,brother chuky chuky    fada si m gwa gi na e ga kpe ekpele ututu taa,
252,munsha ruwa lfy a unguwar kawo lambu dake karamar hukumar nassarawa lag agarin muna godiya,mmanya ndi odogwu,
253,barka ranka ya dade,chukwu g zie g  nne,
254,gaskiya wannan karon su baba anyi abin kai,np onyeze   oge ndi igbo,
255,an gaisheka baba,ezigbo nnem  mama imo  oyoyo nnem  nwanyi obi ya dika aha ya  ebere chukwu mere ndi imo  imo state has been blessed with the best 1st lady,
256,ubangiji allah ya jikan sarkin motar sardauna  albarkacin watan ramadan,captain daalu oooo chukwu gozie gi oooo,
257,allah ka gafartama sarkin zazzau don tsarkin zatinka,nnam gunyenum na ogugu ndi iga agozi bikonu,
258,ameen ya allah babban yaya,ndu bi isi,
259,hahaha       za asha mamaki kam da cabals  allah yasa musauka lafiya a jirgin next level,happy birthday to you nwanne m  osebuluwa ga e mere onwe ya aha na ime nd  g,
260,fatan alkhairi duk da dai ba dan africa ya qirqiri fasahar ba,good morning enugu   t t   ma,
261,allah zai kawu mana karshin ta in sha allahu rabi,umu ag  na eche mba  akanchawa ka una ga enwe  odumeje  agaba,
262,congratulation kannywood king,chukwu ga agozi gi,
263,toh fah wata sabowa allah ya kyauta,odiri onye di ka gi          thedoves  worship  celebrationservice,
264,zo ga masoyi,ututu a di nma itara small anwuru   ka idi sharp for the day,
265,allah ya tsayyaba yar uwa,nwoke  ma  ife any  na ekwu b   ganihu and njik  na na jiria  any  ga ejiko aka  n  mee obodo a   b r  obodo eji ama at   any  zuru ife ji zie ife  li  mmad  ka obodo ji aka,
